frame_id,timestamp,knee_angle,elbow_angle,wrist_angle,confidence_knee,confidence_elbow,confidence_wrist,hip_y_smooth,wrist_y_smooth
0,0.0,154.8283127375378,60.91314362743328,106.1248041748648,0.44917902,0.46456838,0.46456838,0.646760728285714,0.6481724868571426
1,0.0333333333333333,134.32593947852195,70.13249903008938,112.9191400887579,0.4460314,0.454026,0.454026,0.6358077582857139,0.6439804495714283
2,0.0666666666666666,105.28938018314464,110.52197365648985,118.72429266721538,0.4480261,0.47307533,0.47307533,0.6256665031428568,0.6343633495714283
3,0.1,96.8142408397755,85.34567995708015,114.21171537283331,0.42889524,0.4521773,0.4521773,0.6239463548571426,0.6329528679999997
4,0.1333333333333333,103.48612593541108,83.21142486543707,121.27288171752875,0.41290084,0.4477087,0.4477087,0.6258632001428568,0.6408217048571425
5,0.1666666666666666,81.13743572234804,85.6736693063301,131.61565912361928,0.41592202,0.41864482,0.41864482,0.6293469227142854,0.6561673311428569
6,0.2,56.19046051470592,119.21602242241116,148.44110087020692,0.38621753,0.44690904,0.44690904,0.6399650844285711,0.6877627569999997
7,0.2333333333333333,49.0708589548801,114.87921170013888,156.16089362112137,0.35638845,0.48758936,0.48758936,0.6487504924285712,0.7281676639999997
8,0.2666666666666666,44.21476095561734,99.29161092270617,158.77576132875095,0.34450176,0.51854277,0.51854277,0.6468966105714282,0.7545222725714282
9,0.3,51.5430730128017,79.29647601435971,145.31417275598207,0.3794218,0.5329404,0.5329404,0.6373948377142854,0.7512594664285711
10,0.3333333333333333,60.92572238965276,87.6927068075026,141.1673601466244,0.3685609,0.52870375,0.52870375,0.6316461457142853,0.725227852285714
11,0.3666666666666666,72.04214747643856,113.14456062718125,132.80689002673017,0.35516632,0.5395702,0.5395702,0.6295141107142854,0.6787194781428568
12,0.4,65.1300298359048,124.7995388944565,119.82269828725691,0.34905207,0.5154304,0.5154304,0.6262406374285712,0.6346895859999997
13,0.4333333333333333,48.555879157951985,140.72402287775367,107.14500508522806,0.34586075,0.49741405,0.49741405,0.6236564857142854,0.6000901891428568
14,0.4666666666666667,77.95452639038827,155.23095470541696,98.85141496457535,0.34543476,0.46216407,0.46216407,0.6189937258571425,0.5754350827142855
15,0.5,115.993931075774,159.93729566100973,96.0324411716671,0.3342037,0.431802,0.431802,0.6114256521428568,0.5577927941428569
16,0.5333333333333333,132.06149487559392,152.67108144604532,96.01819480966077,0.32258353,0.39892054,0.39892054,0.6007713885714283,0.5543577081428569
17,0.5666666666666667,136.8741778629466,133.11935036644826,96.24624073474519,0.3288575,0.3697265,0.3697265,0.5931822064285711,0.5568769008571426
18,0.6,139.66484503761657,124.09237130405012,98.21971197549641,0.35512108,0.35268065,0.35268065,0.5871216714285712,0.5614332248571426
19,0.6333333333333333,143.15055099842948,126.69456010999826,100.35203981952093,0.38247362,0.3471972,0.3471972,0.5822917511428569,0.5646797084285711
20,0.6666666666666666,144.14144180110168,119.34472737137484,105.12569539636873,0.41647178,0.3507611,0.3507611,0.5787092411428569,0.5688448139999998
21,0.7,152.09771065552115,103.04386466337729,109.14388879403454,0.44780725,0.37005338,0.37005338,0.577104708285714,0.5724857261428569
22,0.7333333333333333,150.30043479474529,90.68591076360914,111.73102572716455,0.4911704,0.40535736,0.40535736,0.5757736551428569,0.5761274827142854
23,0.7666666666666667,146.62212166886562,91.38387400147087,115.95224751202821,0.53275317,0.44935334,0.44935334,0.5747151272857141,0.5777068405714283
24,0.8,144.5810039464434,97.85943974833091,121.2164298773046,0.57298696,0.4863818,0.4863818,0.5730854998571426,0.5772770898571425
25,0.8333333333333334,149.0901984050041,101.30326729340632,123.99861827469856,0.60903347,0.5261053,0.5261053,0.5716846781428568,0.5756666598571426
26,0.8666666666666667,150.3513745881187,92.63273764556006,123.22886016352304,0.6432226,0.56212616,0.56212616,0.5699206361428568,0.5746087034285712
27,0.9,149.0654644664208,84.16596862272074,121.85146454959823,0.6747447,0.5979198,0.5979198,0.5680161207142854,0.573071571285714
28,0.9333333333333332,147.0371911268312,82.86683272576448,125.08058336214452,0.7042487,0.6282166,0.6282166,0.5658322292857141,0.5716520719999997
29,0.9666666666666668,148.1991909052784,86.2559075655526,132.21506243812675,0.7289046,0.64716965,0.64716965,0.5641553184285713,0.5711841525714283
30,1.0,149.37542385391248,94.13720204965493,139.59029623425417,0.74942374,0.65837693,0.65837693,0.5632466065714282,0.5711856937142854
31,1.0333333333333334,149.81883132805655,96.56123728886855,142.73229015591582,0.76855457,0.65941364,0.65941364,0.5625597434285712,0.5704375958571426
32,1.0666666666666669,151.0861085162487,89.45384372001008,140.56379906093886,0.7846612,0.6429524,0.6429524,0.5620290319999997,0.5697030109999996
33,1.1,151.12355446366854,93.2450152905448,142.14062740513913,0.79290956,0.61952025,0.61952025,0.5615668367142854,0.5691085027142855
34,1.1333333333333333,149.36391287711942,108.70483791921009,143.74382586789181,0.8067992,0.5894104,0.5894104,0.5614370188571426,0.5680312778571426
35,1.1666666666666667,146.57116293847812,120.08968465576179,139.98919997867796,0.81931335,0.55724806,0.55724806,0.5612561524285711,0.5669068775714282
36,1.2,145.9336500444985,107.02317443224187,142.13576336644996,0.83095425,0.5276919,0.5276919,0.5610634025714283,0.5660754129999997
37,1.2333333333333334,146.9072182004795,99.63110489335783,140.22741904613537,0.8421442,0.4917008,0.4917008,0.5611416399999998,0.5657117478571425
38,1.2666666666666666,147.22380681675375,95.7634055336539,136.46853754628532,0.84996235,0.4570634,0.4570634,0.5612192204285712,0.5652239472857139
39,1.3,146.52031413957803,92.55849233610986,133.3165288885405,0.85913295,0.42430055,0.42430055,0.5611978518571425,0.5648784827142854
40,1.3333333333333333,143.48944639386772,89.78521648599705,131.482525389628,0.86753225,0.39498487,0.39498487,0.5611623555714282,0.5649938605714282
41,1.3666666666666667,141.06644020074128,94.78027610430432,128.69564287757146,0.87522227,0.37575248,0.37575248,0.5612096284285711,0.5664771879999997
42,1.4,139.36751830423984,99.92355196822942,124.91118373120676,0.8827199,0.3635278,0.3635278,0.5612888515714283,0.5680691649999997
43,1.4333333333333331,137.4190117774943,101.91274600653857,122.40958650429393,0.89040077,0.35065168,0.35065168,0.561258599285714,0.5687612454285711
44,1.4666666666666666,133.89857686933635,94.70349571404726,119.67265609800903,0.8974646,0.33725476,0.33725476,0.5615683107142855,0.5685117732857141
45,1.5,128.96703246765105,79.61422060630326,115.4991601914086,0.9045187,0.32169744,0.32169744,0.5622880269999997,0.5684120004285712
46,1.5333333333333334,125.74861345194641,63.33338024752902,111.5369107049885,0.91093457,0.30595082,0.30595082,0.5631427465714283,0.5681290261428568
47,1.5666666666666669,122.93338500408127,,,0.9169461,0.28991386,0.28991386,0.5635349889999998,0.5678186068571425
48,1.6,120.21206116543489,,,0.9221914,0.27287918,0.27287918,0.5636415299999997,0.5673872734285712
49,1.6333333333333333,114.94355723320271,,,0.92649424,0.2553348,0.2553348,0.5636883164285711,0.5670776721428568
50,1.6666666666666667,110.39470842212455,,,0.9297501,0.23717245,0.23717245,0.5637353778571426,0.5661838411428568
51,1.7,106.99266550597709,,,0.93167603,0.22068752,0.22068752,0.5637211864285713,0.5648325765714284
52,1.7333333333333334,105.14419510154721,,,0.933031,0.20462751,0.20462751,0.5636781584285713,0.5634175029999997
53,1.7666666666666666,105.86387902937436,,,0.93295825,0.19005555,0.19005555,0.5636957345714283,0.5627049137142854
54,1.8,109.92230112189671,,,0.930358,0.17634591,0.17634591,0.5636969781428569,0.561784858285714
55,1.8333333333333333,114.58959210267136,,,0.9249028,0.16284814,0.16284814,0.5638194618571426,0.5607186907142854
56,1.8666666666666667,119.11419313835923,,,0.92096764,0.1506318,0.1506318,0.5640456944285712,0.5592897277142854
57,1.9,119.94315017171913,,,0.91183716,0.13930179,0.13930179,0.5640880712857139,0.5577863331428569
58,1.9333333333333331,117.03786237390997,,,0.9019526,0.12955466,0.12955466,0.5638935111428569,0.5564862975714283
59,1.9666666666666663,116.07419025610147,,,0.88543266,0.12090498,0.12090498,0.5636994448571426,0.5547143667142854
60,2.0,125.00758137907259,,,0.86543536,0.11250274,0.11250274,0.5636391705714283,0.5536539648571426
61,2.033333333333333,130.19695634080156,,,0.83820236,0.10425029,0.10425029,0.5635548384285711,0.5534881481428569
