frame_id,timestamp,elbow_angle,knee_angle,wrist_angle,confidence_elbow,confidence_knee,confidence_wrist
0,0.0,0.0,0.0,0.0,0.5,0.5,0.5
3,0.1,0.0,0.0,0.0,0.5,0.5,0.5
6,0.2,0.0,0.0,0.0,0.5,0.5,0.5
9,0.3,0.0,0.0,0.0,0.5,0.5,0.5
12,0.4,0.0,0.0,0.0,0.5,0.5,0.5
15,0.5,0.0,0.0,0.0,0.5,0.5,0.5
18,0.6,0.0,0.0,0.0,0.5,0.5,0.5
21,0.7,0.0,0.0,0.0,0.5,0.5,0.5
24,0.8,0.0,0.0,0.0,0.5,0.5,0.5
27,0.9,0.0,0.0,0.0,0.5,0.5,0.5
30,1.0,0.0,0.0,0.0,0.5,0.5,0.5
33,1.1,0.0,0.0,0.0,0.5,0.5,0.5
36,1.2,0.0,0.0,0.0,0.5,0.5,0.5
39,1.3,0.0,0.0,0.0,0.5,0.5,0.5
42,1.4,0.0,0.0,0.0,0.5,0.5,0.5
45,1.5,0.0,0.0,0.0,0.5,0.5,0.5
48,1.6,0.0,0.0,0.0,0.5,0.5,0.5
51,1.7,0.0,0.0,0.0,0.5,0.5,0.5
54,1.8,0.0,0.0,0.0,0.5,0.5,0.5
57,1.9,0.0,0.0,0.0,0.5,0.5,0.5
60,2.0,0.0,0.0,0.0,0.5,0.5,0.5
63,2.1,0.0,0.0,0.0,0.5,0.5,0.5
66,2.2,0.0,0.0,0.0,0.5,0.5,0.5
69,2.3,0.0,0.0,0.0,0.5,0.5,0.5
72,2.4,0.0,0.0,0.0,0.5,0.5,0.5
75,2.5,0.0,0.0,0.0,0.5,0.5,0.5
78,2.6,0.0,0.0,0.0,0.5,0.5,0.5
81,2.7,0.0,0.0,0.0,0.5,0.5,0.5
84,2.8,0.0,0.0,0.0,0.5,0.5,0.5
87,2.9,0.0,0.0,0.0,0.5,0.5,0.5
90,3.0,0.0,0.0,0.0,0.5,0.5,0.5
93,3.1,0.0,0.0,0.0,0.5,0.5,0.5
96,3.2,0.0,0.0,0.0,0.5,0.5,0.5
99,3.3,0.0,0.0,0.0,0.5,0.5,0.5
102,3.4,0.0,0.0,0.0,0.5,0.5,0.5
105,3.5,0.0,0.0,0.0,0.5,0.5,0.5
108,3.6,0.0,0.0,0.0,0.5,0.5,0.5
111,3.7,0.0,0.0,0.0,0.5,0.5,0.5
114,3.8,0.0,0.0,0.0,0.5,0.5,0.5
117,3.9,0.0,0.0,0.0,0.5,0.5,0.5
120,4.0,0.0,0.0,0.0,0.5,0.5,0.5
123,4.1,0.0,0.0,0.0,0.5,0.5,0.5
126,4.2,0.0,0.0,0.0,0.5,0.5,0.5
129,4.3,0.0,0.0,0.0,0.5,0.5,0.5
132,4.4,0.0,0.0,0.0,0.5,0.5,0.5
135,4.5,0.0,0.0,0.0,0.5,0.5,0.5
138,4.6,0.0,0.0,0.0,0.5,0.5,0.5
141,4.7,0.0,0.0,0.0,0.5,0.5,0.5
144,4.8,0.0,0.0,0.0,0.5,0.5,0.5
147,4.9,0.0,0.0,0.0,0.5,0.5,0.5
150,5.0,0.0,0.0,0.0,0.5,0.5,0.5
153,5.1,0.0,0.0,0.0,0.5,0.5,0.5
156,5.2,0.0,0.0,0.0,0.5,0.5,0.5
159,5.3,0.0,0.0,0.0,0.5,0.5,0.5
162,5.4,0.0,0.0,0.0,0.5,0.5,0.5
165,5.5,0.0,0.0,0.0,0.5,0.5,0.5
168,5.6,0.0,0.0,0.0,0.5,0.5,0.5
171,5.7,0.0,0.0,0.0,0.5,0.5,0.5
174,5.8,0.0,0.0,0.0,0.5,0.5,0.5
177,5.9,0.0,0.0,0.0,0.5,0.5,0.5
180,6.0,0.0,0.0,0.0,0.5,0.5,0.5
183,6.1,0.0,0.0,0.0,0.5,0.5,0.5
186,6.2,0.0,0.0,0.0,0.5,0.5,0.5
189,6.3,0.0,0.0,0.0,0.5,0.5,0.5
192,6.4,0.0,0.0,0.0,0.5,0.5,0.5
195,6.5,0.0,0.0,0.0,0.5,0.5,0.5
198,6.6,0.0,0.0,0.0,0.5,0.5,0.5
201,6.7,0.0,0.0,0.0,0.5,0.5,0.5
204,6.8,0.0,0.0,0.0,0.5,0.5,0.5
207,6.9,0.0,0.0,0.0,0.5,0.5,0.5
210,7.0,0.0,0.0,0.0,0.5,0.5,0.5
213,7.1,0.0,0.0,0.0,0.5,0.5,0.5
216,7.2,0.0,0.0,0.0,0.5,0.5,0.5
219,7.3,0.0,0.0,0.0,0.5,0.5,0.5
222,7.4,0.0,0.0,0.0,0.5,0.5,0.5
225,7.5,0.0,0.0,0.0,0.5,0.5,0.5
228,7.6,0.0,0.0,0.0,0.5,0.5,0.5
231,7.7,0.0,0.0,0.0,0.5,0.5,0.5
234,7.8,0.0,0.0,0.0,0.5,0.5,0.5
237,7.9,0.0,0.0,0.0,0.5,0.5,0.5
240,8.0,0.0,0.0,0.0,0.5,0.5,0.5
243,8.1,0.0,0.0,0.0,0.5,0.5,0.5
246,8.2,0.0,0.0,0.0,0.5,0.5,0.5
249,8.3,0.0,0.0,0.0,0.5,0.5,0.5
252,8.4,0.0,0.0,0.0,0.5,0.5,0.5
255,8.5,0.0,0.0,0.0,0.5,0.5,0.5
258,8.6,0.0,0.0,0.0,0.5,0.5,0.5
261,8.7,0.0,0.0,0.0,0.5,0.5,0.5
264,8.8,0.0,0.0,0.0,0.5,0.5,0.5
267,8.9,0.0,0.0,0.0,0.5,0.5,0.5
270,9.0,0.0,0.0,0.0,0.5,0.5,0.5
273,9.1,0.0,0.0,0.0,0.5,0.5,0.5
276,9.2,0.0,0.0,0.0,0.5,0.5,0.5
279,9.3,0.0,0.0,0.0,0.5,0.5,0.5
282,9.4,0.0,0.0,0.0,0.5,0.5,0.5
285,9.5,0.0,0.0,0.0,0.5,0.5,0.5
288,9.6,0.0,0.0,0.0,0.5,0.5,0.5
291,9.7,0.0,0.0,0.0,0.5,0.5,0.5
294,9.8,0.0,0.0,0.0,0.5,0.5,0.5
297,9.9,0.0,0.0,0.0,0.5,0.5,0.5
300,10.0,0.0,0.0,0.0,0.5,0.5,0.5
303,10.1,0.0,0.0,0.0,0.5,0.5,0.5
306,10.2,0.0,0.0,0.0,0.5,0.5,0.5
309,10.3,0.0,0.0,0.0,0.5,0.5,0.5
312,10.4,0.0,0.0,0.0,0.5,0.5,0.5
315,10.5,0.0,0.0,0.0,0.5,0.5,0.5
318,10.6,0.0,0.0,0.0,0.5,0.5,0.5
321,10.7,0.0,0.0,0.0,0.5,0.5,0.5
324,10.8,0.0,0.0,0.0,0.5,0.5,0.5
327,10.9,0.0,0.0,0.0,0.5,0.5,0.5
330,11.0,0.0,0.0,0.0,0.5,0.5,0.5
333,11.1,0.0,0.0,0.0,0.5,0.5,0.5
336,11.2,0.0,0.0,0.0,0.5,0.5,0.5
339,11.3,0.0,0.0,0.0,0.5,0.5,0.5
342,11.4,0.0,0.0,0.0,0.5,0.5,0.5
345,11.5,0.0,0.0,0.0,0.5,0.5,0.5
348,11.6,0.0,0.0,0.0,0.5,0.5,0.5
351,11.7,0.0,0.0,0.0,0.5,0.5,0.5
354,11.8,0.0,0.0,0.0,0.5,0.5,0.5
357,11.9,0.0,0.0,0.0,0.5,0.5,0.5
