Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,poll,7,1,69,2488.1926571251824,16.752099967561662,14007.505099987611,323.14285714285717,0.279369557764866,0.03990993682355229,69,110,3200,3200,14000,14000,14000,14000,14000,14000,14000
POST,submit,18,18,18000.0,19163.206766689353,15479.647399974056,23502.389800036326,0.0,0.7183788628239411,0.7183788628239411,19000,19000,20000,23000,23000,24000,24000,24000,24000,24000,24000
POST,submit_with_poll,20,19,18000.0,18308.55323501164,1662.656500004232,23903.724100091495,3.15,0.7981987364710458,0.7582887996474935,18000,20000,24000,24000,24000,24000,24000,24000,24000,24000,24000
,Aggregated,45,38,18000.0,16189.469668900387,16.752099967561662,23903.724100091495,51.666666666666664,1.795947157059853,1.516577599294987,18000,19000,20000,23000,24000,24000,24000,24000,24000,24000,24000
