Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,poll,122,2,1100.0,3337.7906844214554,6.093100062571466,25406.236000009812,370.75409836065575,1.416899089663432,0.023227853928908717,1100,2000,4100,5400,10000,13000,23000,23000,25000,25000,25000
POST,submit,19,1,21000.0,28474.477410518663,193.16700007766485,73630.58320002165,59.68421052631579,0.22066461232463283,0.011613926964454359,21000,34000,44000,53000,63000,74000,74000,74000,74000,74000,74000
POST,submit_with_poll,15,0,18000.0,27190.570946674172,270.0514999451116,75865.5111999251,63.0,0.1742089044668154,0.0,18000,19000,39000,72000,72000,76000,76000,76000,76000,76000,76000
,Aggregated,156,3,1500.0,8692.846785252466,6.093100062571466,75865.5111999251,303.27564102564105,1.81177260645488,0.03484178089336308,1500,4700,10000,15000,23000,44000,72000,74000,76000,76000,76000
