frame_id,timestamp,elbow_angle,knee_angle,wrist_angle,confidence_elbow,confidence_knee,confidence_wrist
0,0.0,72.55188591690958,127.44372776807415,151.969727134383,0.9377078,0.6037256,0.9377078
3,0.1,62.16997196028835,104.34906714149521,142.89668751404352,0.9389327,0.5916389,0.9389327
6,0.2,72.47122769534097,111.58975704615642,135.38065957399823,0.92428815,0.5719932,0.92428815
9,0.3,103.13157835898248,130.39591516248964,115.00968540230255,0.92417747,0.61258,0.92417747
12,0.4,138.5099499743842,150.29407591473193,97.63051649794693,0.92436945,0.64803886,0.92436945
15,0.5,141.44098050809885,143.82561064903203,87.85704325112185,0.90692157,0.67608464,0.90692157
18,0.6,124.25089177441241,106.28239356533243,87.58857672183568,0.8938066,0.7050603,0.8938066
21,0.7,93.54170574957946,87.974845870509,93.09225058942057,0.88890404,0.72343135,0.88890404
24,0.8,53.32451112681027,104.37133730152551,109.83155990090572,0.8897487,0.74951625,0.8897487
27,0.9,64.14414714199998,110.57532903549293,120.04656671256585,0.895839,0.77323645,0.895839
30,1.0,54.708085987390405,114.58472703435075,115.4037370580417,0.90277034,0.7944494,0.90277034
33,1.1,55.75066453294655,125.89100478020511,104.48703219165628,0.906832,0.8120826,0.906832
36,1.2,77.27235460735707,126.05688609838002,100.02519346983664,0.9095,0.8259628,0.9095
39,1.3,84.64843024430678,122.79498749067524,99.43060102299769,0.9123316,0.83925176,0.9123316
42,1.4,87.09131741984318,120.08032535671218,99.48008151495407,0.9165666,0.8532088,0.9165666
45,1.5,91.8488673945538,121.04715326978092,99.06265647519446,0.9217194,0.8664493,0.9217194
48,1.6,99.52189239911048,119.30841069315879,97.94336627148535,0.9266298,0.87796676,0.9266298
51,1.7,101.69887373797081,115.22672013628556,97.49706908764418,0.9301213,0.8882863,0.9301213
54,1.8,113.24390214314379,114.42056091350098,95.87001910741441,0.92941236,0.896808,0.92941236
57,1.9,125.18204757409407,116.97165565139038,94.4668223714418,0.9198533,0.90483564,0.9198533
60,2.0,129.95688870922623,122.38297539491936,93.52509781735611,0.91077495,0.9119597,0.91077495
63,2.1,131.2715778656871,123.55802171838737,93.03753486048743,0.8919104,0.91785544,0.8919104
66,2.2,135.39791187112547,124.04963273606596,92.39713128742787,0.86776584,0.9229837,0.86776584
69,2.3,140.08162023542857,127.56375956397481,92.04691699576246,0.8411603,0.92759085,0.8411603
72,2.4,140.03387608475305,136.83678661218184,91.79247510949568,0.8059894,0.9270741,0.8059894
75,2.5,141.04834096004225,142.50490123528422,92.04700310928412,0.77218777,0.9276406,0.77218777
78,2.6,144.21226462025376,143.1543304143313,92.32202059571603,0.7447609,0.92971236,0.7447609
81,2.7,147.4422784705968,141.90295307465126,92.49505809111703,0.7140659,0.9338697,0.7140659
84,2.8,147.3977920860933,144.25806564500292,92.4705106519808,0.6937067,0.9393761,0.6937067
