frame_id,joint,x_norm_smooth,y_norm_smooth,confidence,interpolated
0,left_ankle,0.5220778057142854,0.8913472371428567,0.9223059,False
0,left_elbow,0.630572714285714,0.6603562488571425,0.995977,False
0,left_foot_index,0.5616411288571426,0.930354042285714,0.9255584,False
0,left_heel,0.4928285854285712,0.901018963428571,0.7735775,False
0,left_hip,0.5703202114285713,0.706517657428571,0.99988604,False
0,left_knee,0.6064631854285711,0.8115018908571424,0.9547866,False
0,left_shoulder,0.6032197691428569,0.5783941028571425,0.99998415,False
0,left_wrist,0.5364662537142855,0.6287813057142854,0.993526,False
0,nose,0.4922927628571426,0.5425834414285713,0.9999821,False
0,right_ankle,0.45041633914285695,0.9016018199999997,0.9786041,False
0,right_elbow,0.3735778122857141,0.6776865371428568,0.9954051,False
0,right_foot_index,0.49694741971428547,0.9473783179999995,0.974502,False
0,right_heel,0.4283443337142855,0.914620391428571,0.78893304,False
0,right_hip,0.4617172674285712,0.7086168411428567,0.99986434,False
0,right_knee,0.4971597194285711,0.8108197582857138,0.98443764,False
0,right_shoulder,0.4176364102857141,0.5922449814285711,0.9999831,False
0,right_wrist,0.42601959428571406,0.6400270057142854,0.9865413,False
1,left_ankle,0.5206850971428568,0.8909878519999996,0.9212469,False
1,left_elbow,0.6298421214285711,0.6609101845714282,0.9957694,False
1,left_foot_index,0.5605466559999998,0.9303235022857138,0.9256844,False
1,left_heel,0.4908861117142854,0.9008528605714281,0.7793176,False
1,left_hip,0.5687852271428568,0.7064772868571425,0.9998686,False
1,left_knee,0.6064398142857139,0.8108995419999996,0.9524642,False
1,left_shoulder,0.6025318519999996,0.5783853414285711,0.999982,False
1,left_wrist,0.5361830305714284,0.6288042585714283,0.9934833,False
1,nose,0.4919124171428569,0.5426371628571425,0.99997914,False
1,right_ankle,0.45044940857142834,0.9015688285714281,0.9773299,False
1,right_elbow,0.37374798885714267,0.6779353228571425,0.9952758,False
1,right_foot_index,0.4968109245714284,0.9468971214285711,0.9729221,False
1,right_heel,0.4295327994285712,0.9148376362857138,0.7866812,False
1,right_hip,0.4609360471428569,0.7086012588571425,0.9998341,False
1,right_knee,0.49762924771428546,0.8107989325714282,0.98342687,False
1,right_shoulder,0.41738338314285695,0.5923241257142855,0.9999801,False
1,right_wrist,0.42606819914285693,0.6400117028571425,0.986497,False
2,left_ankle,0.5193809057142855,0.8904171522857138,0.91982037,False
2,left_elbow,0.6284117671428567,0.6615551117142854,0.9953993,False
2,left_foot_index,0.5591491988571426,0.9302488608571424,0.925301,False
2,left_heel,0.48932762371428545,0.9004487719999995,0.78311086,False
2,left_hip,0.5674635942857139,0.7064421905714281,0.99984664,False
2,left_knee,0.6063673971428569,0.8103487459999996,0.9513357,False
2,left_shoulder,0.6016658777142854,0.5783777799999997,0.9999783,False
2,left_wrist,0.5352823174285711,0.6288305605714283,0.99317765,False
2,nose,0.49117079571428546,0.5426898671428569,0.99997526,False
2,right_ankle,0.4505343437142855,0.9016326085714281,0.9763681,False
2,right_elbow,0.37393611428571416,0.6781723085714282,0.99509674,False
2,right_foot_index,0.4966565825714283,0.9464687817142852,0.9715984,False
2,right_heel,0.43115965657142835,0.9155124948571425,0.78442746,False
2,right_hip,0.4602134997142855,0.708604349428571,0.9998044,False
2,right_knee,0.4980139454285712,0.8107637188571425,0.98274195,False
2,right_shoulder,0.4169577179999998,0.5924413902857141,0.99997675,False
2,right_wrist,0.4260040914285712,0.6400038285714282,0.9862611,False
3,left_ankle,0.5191506028571427,0.8899773108571425,0.91951305,False
3,left_elbow,0.6269444371428567,0.6618299617142853,0.99493384,False
3,left_foot_index,0.5584089502857139,0.930159479428571,0.9257864,False
3,left_heel,0.48937537399999975,0.9000505377142853,0.7868644,False
3,left_hip,0.5673783179999996,0.7064530999999996,0.9998254,False
3,left_knee,0.606269704285714,0.8102646714285711,0.95089316,False
3,left_shoulder,0.6010550348571426,0.5783744814285712,0.9999738,False
3,left_wrist,0.5339796657142855,0.6288167339999997,0.9926857,False
3,nose,0.49035486885714263,0.5426889199999998,0.99997187,False
3,right_ankle,0.45063410057142833,0.901746771428571,0.9756074,False
3,right_elbow,0.3739340474285713,0.6782273971428567,0.9948899,False
3,right_foot_index,0.49657892085714256,0.9463746208571424,0.9705162,False
3,right_heel,0.43271239657142835,0.9161635668571424,0.7816453,False
3,right_hip,0.4600769908571426,0.7087057271428567,0.99977714,False
3,right_knee,0.4980390708571426,0.8107534731428567,0.9822218,False
3,right_shoulder,0.41649779314285695,0.5925860497142854,0.99997294,False
3,right_wrist,0.42575580514285694,0.6400185885714282,0.98576003,False
4,left_ankle,0.5191813168571426,0.8897933451428566,0.91992545,False
4,left_elbow,0.6258200428571425,0.6619010579999997,0.9945999,False
4,left_foot_index,0.5583876511428569,0.9299847842857139,0.92682827,False
4,left_heel,0.48944851171428544,0.8999355414285709,0.7909101,False
4,left_hip,0.5674076965714283,0.7064787371428567,0.9998113,False
4,left_knee,0.6060082757142855,0.8102460628571424,0.9506671,False
4,left_shoulder,0.6004612259999997,0.5783731085714283,0.99997073,False
4,left_wrist,0.5326649308571427,0.628826224285714,0.9923838,False
4,nose,0.489656746285714,0.5426632242857141,0.9999691,False
4,right_ankle,0.4507375225714284,0.9018533279999996,0.97475624,False
4,right_elbow,0.3737398859999998,0.6782406597142854,0.9947465,False
4,right_foot_index,0.4965729368571426,0.9462698902857138,0.9694487,False
4,right_heel,0.4343909957142855,0.9165091825714282,0.7777982,False
4,right_hip,0.46006369971428546,0.7088914271428568,0.99975324,False
4,right_knee,0.4980214454285712,0.8109453837142854,0.9816721,False
4,right_shoulder,0.4159747777142855,0.5927300959999997,0.9999692,False
4,right_wrist,0.42543199314285696,0.639993914285714,0.9853739,False
5,left_ankle,0.5191444968571426,0.8897642337142854,0.919995,False
5,left_elbow,0.6251375548571425,0.6618825971428568,0.9943631,False
5,left_foot_index,0.5583285828571426,0.929823088571428,0.9275263,False
5,left_heel,0.48938867028571403,0.8999714914285709,0.7947922,False
