frame_id,timestamp,elbow_angle,knee_angle,wrist_angle,confidence_elbow,confidence_knee,confidence_wrist
0,0.0,57.728061451652444,,102.87623485156128,0.40569782,0.28767997,0.40569782
3,0.1,75.08288046798693,,118.47747201745469,0.39958578,0.28453636,0.39958578
6,0.2,113.67671758456463,,150.89045159015782,0.42990336,0.263744,0.42990336
9,0.3,78.3446328186327,44.28308804782781,149.90452339215577,0.46545273,0.30452627,0.46545273
12,0.4,123.89614769893684,69.47672179186178,124.95829507168234,0.45590428,0.30080384,0.45590428
15,0.5,144.201791363513,,104.14182820296934,0.42884114,0.29053998,0.42884114
18,0.6,133.8298844941968,109.22101825643261,104.53274820163779,0.40180564,0.32167315,0.40180564
21,0.7,101.24452323927619,132.7087517829014,112.91288268709515,0.4068492,0.3627721,0.4068492
24,0.8,102.52330315659405,147.23924704315783,117.58964032084121,0.43103012,0.42296636,0.43103012
27,0.9,108.80259498075411,148.85700665593356,131.34045758286953,0.47719222,0.47849146,0.47719222
30,1.0,112.16760120962095,146.60146801589548,136.74485848498063,0.5011677,0.5297007,0.5011677
33,1.1,120.98594642080907,147.98096960786074,134.23526982183785,0.49318746,0.57451123,0.49318746
36,1.2,121.57352500263394,149.51901004343344,131.8805182462217,0.46789345,0.6141791,0.46789345
39,1.3,115.53358300708652,144.61342273957632,130.99431176713733,0.4350354,0.6491818,0.4350354
42,1.4,87.81033558581088,139.9768553524636,126.78626008211289,0.41193536,0.6792888,0.41193536
45,1.5,59.03031203785803,133.42025440506535,116.53917653901763,0.3897584,0.7080736,0.3897584
48,1.6,48.08381266308711,122.38149238183665,110.68574963143872,0.3633729,0.7325828,0.3633729
51,1.7,53.61918899987466,112.9627320913957,108.51821838234639,0.33538795,0.75369734,0.33538795
54,1.8,62.62840836487788,113.79607145131186,111.2447855701672,0.30806637,0.76582074,0.30806637
57,1.9,,122.78996832052907,,0.28167856,0.76986015,0.28167856
60,2.0,,130.0306722136414,,0.25764585,0.75868416,0.25764585
63,2.1,,133.29458132547205,,0.23508379,0.7282759,0.23508379
66,2.2,,137.13409141871477,,0.21463306,0.6930251,0.21463306
69,2.3,,142.11230590805175,,0.19623752,0.6647027,0.19623752
72,2.4,,151.5489622004668,,0.179162,0.62305003,0.179162
75,2.5,,159.45096413697408,,0.16435216,0.5852467,0.16435216
78,2.6,,165.13433539227154,,0.15407765,0.554799,0.15407765
81,2.7,,165.35123234399663,,0.14766425,0.5341363,0.14766425
84,2.8,,162.60597554080192,,0.14585973,0.5388077,0.14585973
87,2.9,,159.98026582835297,,0.14276376,0.54708457,0.14276376
90,3.0,,158.46305260601866,,0.14226961,0.54855317,0.14226961
93,3.1,,157.68536785104953,,0.14659876,0.5440996,0.14659876
96,3.2,,157.9275696910555,,0.14145742,0.53896004,0.14145742
99,3.3,,158.09426943610595,,0.13381863,0.53596723,0.13381863
102,3.4,,156.13490568451437,,0.12776035,0.537773,0.12776035
105,3.5,,156.66838379168132,,0.12046154,0.5402812,0.12046154
108,3.6,,158.3296879206706,,0.11531923,0.5268849,0.11531923
111,3.7,,162.29871246660932,,0.112076014,0.50598073,0.112076014
114,3.8,,162.00090895838815,,0.112942964,0.48456714,0.112942964
117,3.9,,158.12515526428425,,0.11617827,0.48171598,0.11617827
120,4.0,,151.81101979880503,,0.11767112,0.47789794,0.11767112
123,4.1,,143.57033602118082,,0.1218003,0.4755799,0.1218003
126,4.2,,137.62332901005797,,0.11580055,0.45240712,0.11580055
129,4.3,,133.30313337872698,,0.10930982,0.43045157,0.10930982
132,4.4,,134.51074306404317,,0.10257587,0.40554166,0.10257587
135,4.5,,138.68475017396798,,0.09698336,0.3950251,0.09698336
138,4.6,,141.66186974229652,,0.092300065,0.39180568,0.092300065
141,4.7,,143.0015291715562,,0.088990174,0.3915972,0.088990174
144,4.8,,143.2840690891296,,0.08594481,0.40812716,0.08594481
147,4.9,,144.77143184691204,,0.08329946,0.43321535,0.08329946
150,5.0,,144.40143164602145,,0.0809036,0.45935166,0.0809036
153,5.1,,143.78114990816474,,0.07906565,0.49159148,0.07906565
156,5.2,,142.47779260843774,,0.07679759,0.51821977,0.07679759
159,5.3,,144.75781503359102,,0.07568564,0.54831535,0.07568564
162,5.4,,147.10050279674576,,0.075437695,0.57553005,0.075437695
165,5.5,,148.64587206939052,,0.07464567,0.60092634,0.07464567
168,5.6,,148.67903527343353,,0.07327821,0.62174046,0.07327821
171,5.7,,150.87914595576322,,0.07250956,0.63470286,0.07250956
174,5.8,,154.1423473381592,,0.073410206,0.6433224,0.073410206
177,5.9,,154.71908778825036,,0.07446946,0.6459462,0.07446946
180,6.0,,151.51071984379593,,0.077352084,0.6318443,0.077352084
183,6.1,,144.83541145104004,,0.07829796,0.61074877,0.07829796
186,6.2,,141.31881037549076,,0.080703646,0.58844715,0.080703646
189,6.3,,142.82315085529748,,0.080333084,0.55854976,0.080333084
192,6.4,,146.15099461488043,,0.07790028,0.5245742,0.07790028
195,6.5,,144.95566589295169,,0.078170784,0.50304365,0.078170784
198,6.6,,142.93813735805963,,0.081693634,0.48880965,0.081693634
201,6.7,,143.11845547384496,,0.08671053,0.46968347,0.08671053
204,6.8,,144.4006378562841,,0.087284334,0.44569033,0.087284334
207,6.9,,143.2753043477073,,0.08551789,0.4227816,0.08551789
210,7.0,,141.54384188279727,,0.08155557,0.39786422,0.08155557
213,7.1,,142.43710560612575,,0.077733606,0.3752773,0.077733606
216,7.2,,144.05841305419003,,0.07361571,0.35544208,0.07361571
219,7.3,,145.64814085994678,,0.07016963,0.34089684,0.07016963
222,7.4,,146.68352750793193,,0.068336174,0.3302246,0.068336174
225,7.5,,147.5412575295821,,0.06739331,0.32189015,0.06739331
228,7.6,,147.68702546609225,,0.06702546,0.3155224,0.06702546
231,7.7,,147.48011474087795,,0.072548136,0.31270468,0.072548136
234,7.8,,147.919669346296,,0.07789296,0.31530643,0.07789296
237,7.9,,148.96086361775605,,0.08265591,0.31763032,0.08265591
240,8.0,,148.7287948566206,,0.0899944,0.3242466,0.0899944
243,8.1,,148.044994690333,,0.10070691,0.3366793,0.10070691
246,8.2,,148.11512971221117,,0.1094235,0.34976807,0.1094235
249,8.3,,149.2783703422182,,0.11266693,0.36359546,0.11266693
252,8.4,,150.75260169914938,,0.115700625,0.375073,0.115700625
255,8.5,,151.43407630062495,,0.11153278,0.39640608,0.11153278
258,8.6,,152.3676725066651,,0.10741374,0.4283026,0.10741374
261,8.7,,154.43506146657634,,0.10031243,0.45364627,0.10031243
264,8.8,,156.55671985063876,,0.09361067,0.4779731,0.09361067
267,8.9,,158.2014845564328,,0.08843545,0.49456707,0.08843545
270,9.0,,159.55144216287533,,0.08194577,0.49779457,0.08194577
273,9.1,,161.30818555874035,,0.076393165,0.5001904,0.076393165
276,9.2,,163.23253011346952,,0.07203615,0.51536,0.07203615
279,9.3,,164.3873051471348,,0.06954171,0.5380202,0.06954171
282,9.4,,165.7139220976868,,0.06719582,0.5539612,0.06719582
285,9.5,,166.80349419549052,,0.06705643,0.5695362,0.06705643
288,9.6,,168.59947305129043,,0.085914314,0.5895835,0.085914314
291,9.7,,169.46084706669305,,0.11505731,0.61529607,0.11505731
294,9.8,,171.2747634884346,,0.15748402,0.6436666,0.15748402
297,9.9,,172.07439621170536,,0.20303176,0.67119944,0.20303176
300,10.0,,172.44629359176227,,0.22976194,0.6935832,0.22976194
303,10.1,,172.3255297740526,,0.24655113,0.7102408,0.24655113
306,10.2,,172.3323982242954,,0.25564227,0.7195286,0.25564227
309,10.3,,171.99844508885616,,0.26252228,0.7242321,0.26252228
312,10.4,,171.4998983988256,,0.2608967,0.72577226,0.2608967
315,10.5,,170.9059423003957,,0.2633969,0.73027325,0.2633969
318,10.6,,170.48858459163938,,0.26386958,0.7352696,0.26386958
321,10.7,,170.18612162905782,,0.26500463,0.74319035,0.26500463
324,10.8,,169.83787689663546,,0.2687983,0.75195163,0.2687983
327,10.9,,169.5228038867897,,0.27557877,0.76069206,0.27557877
330,11.0,,169.2191635207018,,0.28335539,0.76461476,0.28335539
333,11.1,,168.7312993268495,,0.28660774,0.76215637,0.28660774
336,11.2,,168.47124660042945,,0.29427052,0.75570416,0.29427052
339,11.3,,167.98325949533367,,0.29801106,0.7446355,0.29801106
